trip_id,route_id,stop_id,arrival_delay,departure_delay,timestamp,prev_arrival_delay,delay_diff,delay_spike_flag,vehicle_label,latitude,longitude,speed_kmph,current_stop_sequence,start_datetime,direction_id,schedule_relationship,is_stationary,is_stationary_rolling_sum,stuck_flag,route_deviation_flag,prev_stop_sequence,stop_skipped_flag
301130430,122314,2748312,-122.0,-122.0,2025-07-22 20:05:00,-102.0,-20.0,0,5303.0,51.82099533081055,5.856803894042969,39.62343487786645,67.0,2025-07-22 20:05:00,1.0,0.0,0.0,0.0,0.0,0.0,67.0,0
301337235,126325,2751971,168.0,168.0,2025-07-22 20:05:00,-155.0,323.0,1,1250.0,51.4535026550293,5.721136569976807,0.0,33.0,2025-07-22 20:05:00,1.0,0.0,1.0,1.0,0.0,0.0,33.0,0
301130430,122314,2748898,22.0,39.0,2025-07-22 20:05:00,-223.0,245.0,1,5303.0,51.69875717163086,5.971789836883545,0.0,46.0,2025-07-22 20:05:00,1.0,0.0,1.0,1.0,0.0,0.0,67.0,0
301130430,122314,2748898,22.0,39.0,2025-07-22 20:05:00,-223.0,245.0,1,5303.0,51.69875717163086,5.971789836883545,0.0,46.0,2025-07-22 20:05:00,1.0,0.0,1.0,1.0,0.0,0.0,46.0,0
299159617,130924,2898058,198.0,198.0,2025-07-22 20:05:00,230.0,-32.0,0,1451.0,53.14878845214844,5.4281907081604,27.37228277806968,53.0,2025-07-22 20:05:00,1.0,0.0,0.0,0.0,0.0,0.0,53.0,0
301710550,133801,3236280,496.0,407.0,2025-07-22 20:06:00,560.0,-64.0,0,8113.0,51.73606872558594,5.118164539337158,0.0,26.0,2025-07-22 20:06:00,0.0,0.0,1.0,1.0,0.0,0.0,26.0,0
301123007,122270,2747176,5.0,25.0,2025-07-22 20:06:00,-26.0,31.0,0,5342.0,51.971954345703125,5.908839225769043,0.0,60.0,2025-07-22 20:06:00,1.0,0.0,1.0,1.0,0.0,0.0,60.0,0
301711680,134011,3225789,88.0,88.0,2025-07-22 20:08:00,60.0,28.0,0,7763.0,51.6265869140625,4.871509552001953,0.0,32.0,2025-07-22 20:08:00,0.0,0.0,1.0,1.0,0.0,1.0,41.0,0
301711680,134011,3225789,88.0,88.0,2025-07-22 20:08:00,60.0,28.0,0,7763.0,51.6265869140625,4.871509552001953,0.0,32.0,2025-07-22 20:08:00,0.0,0.0,1.0,1.0,0.0,1.0,32.0,0
301711680,134011,3227077,63.0,63.0,2025-07-22 20:08:00,119.0,-56.0,0,7763.0,51.69651794433594,4.868890285491943,19.512938816239085,41.0,2025-07-22 20:08:00,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1
301711680,134011,3225789,88.0,88.0,2025-07-22 20:08:00,60.0,28.0,0,7763.0,51.6265869140625,4.871509552001953,0.0,32.0,2025-07-22 20:08:00,0.0,0.0,1.0,1.0,0.0,1.0,41.0,0
299234399,127663,3191886,0.0,0.0,2025-07-22 20:08:00,102.0,-102.0,0,2092.0,52.35909271240234,5.622740745544434,75853.4186594959,32.0,2025-07-22 20:08:00,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0
301644508,122462,2749460,83.0,83.0,2025-07-22 20:08:00,107.0,-24.0,0,2026.0,52.37701797485352,4.638991355895996,2922.929864277024,43.0,2025-07-22 20:08:00,1.0,0.0,0.0,1.0,0.0,0.0,43.0,0
301340035,123044,2753669,-834.0,-834.0,2025-07-22 20:11:00,-803.0,-31.0,0,5591.0,51.27790832519531,4.091395378112793,0.0,11.0,2025-07-22 20:11:00,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0
301340035,123044,2753669,-834.0,-834.0,2025-07-22 20:11:00,-803.0,-31.0,0,5591.0,51.27790832519531,4.091395378112793,0.0,11.0,2025-07-22 20:11:00,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0
301308228,123016,2745692,28.0,46.0,2025-07-22 20:12:00,1.0,27.0,0,9802.0,52.35701751708984,4.669348239898682,0.0,40.0,2025-07-22 20:12:00,1.0,0.0,1.0,1.0,0.0,1.0,40.0,0
298972017,126938,3185633,-294.0,-294.0,2025-07-22 20:13:00,-129.0,-165.0,0,5109.0,51.99113082885742,4.211913585662842,0.0,40.0,2025-07-22 20:13:00,0.0,0.0,1.0,1.0,0.0,0.0,40.0,0
299182132,130995,2702351,160.0,160.0,2025-07-22 20:14:00,156.0,4.0,0,4048.0,52.04254531860352,5.096721172332764,0.0,40.0,2025-07-22 20:14:00,1.0,0.0,1.0,1.0,0.0,0.0,40.0,0
299182132,130995,2702613,-3.0,5.0,2025-07-22 20:14:00,34.0,-37.0,0,4048.0,51.989166259765625,5.093951225280762,51681.619484826944,57.0,2025-07-22 20:14:00,1.0,0.0,0.0,0.0,0.0,1.0,40.0,1
299182132,130995,2702613,-3.0,5.0,2025-07-22 20:14:00,34.0,-37.0,0,4048.0,51.989166259765625,5.093951225280762,51681.619484826944,57.0,2025-07-22 20:14:00,1.0,0.0,0.0,0.0,0.0,1.0,57.0,0
299182132,130995,2702351,160.0,160.0,2025-07-22 20:14:00,156.0,4.0,0,4048.0,52.04254531860352,5.096721172332764,0.0,40.0,2025-07-22 20:14:00,1.0,0.0,1.0,1.0,0.0,0.0,57.0,0
301729747,133939,3236504,-121.0,-115.0,2025-07-22 20:14:00,-114.0,-7.0,0,8989.0,51.5218620300293,5.491620063781738,0.0,43.0,2025-07-22 20:14:00,1.0,0.0,1.0,1.0,0.0,0.0,43.0,0
301645268,122467,2749720,36.0,36.0,2025-07-22 20:14:00,-190.0,226.0,1,3223.0,52.3616943359375,4.590933799743652,0.0,25.0,2025-07-22 20:14:00,1.0,0.0,1.0,1.0,0.0,1.0,25.0,0
299378095,106172,3196872,227.0,227.0,2025-07-22 20:14:00,256.0,-29.0,0,7430.0,53.21464538574219,6.641363620758057,0.0,40.0,2025-07-22 20:14:00,0.0,0.0,1.0,1.0,0.0,0.0,40.0,0
301308231,123016,2745980,103.0,141.0,2025-07-22 20:14:00,44.0,59.0,0,9801.0,52.301639556884766,4.878078460693359,0.0,48.0,2025-07-22 20:14:00,0.0,0.0,1.0,1.0,0.0,0.0,48.0,0
299233565,127650,3191944,-626.0,-626.0,2025-07-22 20:14:00,-570.0,-56.0,0,2037.0,52.340797424316406,5.617199420928955,0.0,34.0,2025-07-22 20:14:00,0.0,0.0,1.0,1.0,0.0,0.0,34.0,0
301644511,122462,2749859,-105.0,21.0,2025-07-22 20:14:00,-186.0,81.0,0,3211.0,52.48008728027344,4.65873908996582,0.0,33.0,2025-07-22 20:14:00,0.0,0.0,1.0,1.0,0.0,1.0,33.0,0
301644511,122462,2749859,-105.0,21.0,2025-07-22 20:14:00,-186.0,81.0,0,3211.0,52.48008728027344,4.65873908996582,0.0,33.0,2025-07-22 20:14:00,0.0,0.0,1.0,1.0,0.0,1.0,33.0,0
299161030,130941,3195136,14.0,14.0,2025-07-22 20:15:00,-39.0,53.0,0,1663.0,53.00211334228516,5.700592041015625,0.0,29.0,2025-07-22 20:15:00,0.0,0.0,1.0,1.0,0.0,1.0,29.0,0
301340479,123049,2761044,-153.0,-153.0,2025-07-22 20:15:00,-120.0,-33.0,0,1117.0,51.2122802734375,3.21444034576416,431.4586519986373,39.0,2025-07-22 20:15:00,1.0,0.0,0.0,0.0,0.0,1.0,39.0,0
300385391,104319,2515554,-25.0,-5.0,2025-07-22 20:15:20,-12.0,-13.0,0,4018.0,52.068016052246094,4.516167640686035,6253.324081840899,32.0,2025-07-22 20:15:20,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0
301666254,131950,3176119,237.0,275.0,2025-07-22 20:16:00,0.0,237.0,1,7405.0,50.76899719238281,6.074367046356201,0.0,42.0,2025-07-22 20:16:00,1.0,0.0,1.0,1.0,0.0,0.0,42.0,0
299169681,119938,2904100,196.0,196.0,2025-07-22 20:16:00,213.0,-17.0,0,8223.0,51.93467712402344,4.798121929168701,0.0,30.0,2025-07-22 20:16:00,0.0,0.0,1.0,1.0,0.0,0.0,30.0,0
301104082,121431,2752570,189.0,189.0,2025-07-22 20:17:00,123.0,66.0,0,5509.0,52.2376708984375,5.6565446853637695,0.0,29.0,2025-07-22 20:17:00,0.0,0.0,1.0,1.0,0.0,1.0,29.0,0
301729526,133932,3237094,329.0,338.0,2025-07-22 20:17:00,237.0,92.0,0,8506.0,51.62028884887695,5.066203594207764,14.440976646844128,51.0,2025-07-22 20:17:00,0.0,0.0,0.0,0.0,0.0,1.0,37.0,1
301711774,133834,3227165,845.0,845.0,2025-07-22 20:17:00,846.0,-1.0,0,7313.0,51.58098983764648,4.808949947357178,64.71839928282874,6.0,2025-07-22 20:17:00,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0
301334258,126298,2765287,9.0,9.0,2025-07-22 20:17:00,-23.0,32.0,0,2228.0,51.34526443481445,5.551770210266113,0.0,29.0,2025-07-22 20:17:00,0.0,0.0,1.0,1.0,0.0,1.0,29.0,0
301334258,126298,2765287,9.0,9.0,2025-07-22 20:17:00,-23.0,32.0,0,2228.0,51.34526443481445,5.551770210266113,0.0,29.0,2025-07-22 20:17:00,0.0,0.0,1.0,1.0,0.0,1.0,29.0,0
301729526,133932,3237193,155.0,160.0,2025-07-22 20:17:00,148.0,7.0,0,8506.0,51.67229461669922,5.052404880523682,0.0,37.0,2025-07-22 20:17:00,0.0,0.0,1.0,1.0,0.0,0.0,51.0,0
301711533,134009,3225977,158.0,158.0,2025-07-22 20:17:00,148.0,10.0,0,7252.0,51.63397979736328,4.765200614929199,0.0,27.0,2025-07-22 20:17:00,0.0,0.0,1.0,1.0,0.0,0.0,27.0,0
301729526,133932,3237193,155.0,160.0,2025-07-22 20:17:00,148.0,7.0,0,8506.0,51.67229461669922,5.052404880523682,0.0,37.0,2025-07-22 20:17:00,0.0,0.0,1.0,1.0,0.0,0.0,37.0,0
