trip_id,start_time,start_date,schedule_relationship,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_label,speed_kmph
297504938,20:33:00,2025-06-22,0,130334,1.0,51.59352111816406,4.782164096832275,1.0,2,2025-06-22 18:43:38,3150197,8980,0.0
297504938,20:33:00,2025-06-22,0,130334,1.0,51.59352111816406,4.782164096832275,1.0,2,2025-06-22 18:43:38,3150197,8980,0.0
297504938,20:33:00,2025-06-22,0,130334,1.0,51.570411682128906,4.665086269378662,9.0,2,2025-06-22 18:58:38,3150405,8980,0.009431029484938546
297504938,20:33:00,2025-06-22,0,130334,1.0,51.542198181152344,4.593557834625244,17.0,1,2025-06-22 19:13:54,,8980,0.006393339730905596
297504938,20:33:00,2025-06-22,0,130334,1.0,51.53718566894531,4.462881088256836,28.0,2,2025-06-22 19:31:02,3150903,8980,0.008808178546251277
297504943,21:37:00,2025-06-22,0,130334,0.0,51.5318717956543,4.475398063659668,4.0,2,2025-06-22 19:44:58,3150961,8980,0.0012538158426933766
297504943,21:37:00,2025-06-22,0,130334,0.0,51.53801345825195,4.575541019439697,12.0,2,2025-06-22 19:58:44,3150615,8980,0.008426416335198278
297504862,21:03:00,2025-06-22,0,128342,1.0,51.59579086303711,4.777674198150635,1.0,1,2025-06-22 18:43:57,,8982,0.0
297504862,21:03:00,2025-06-22,0,128342,1.0,51.59579086303711,4.777674198150635,1.0,1,2025-06-22 18:43:57,,8982,0.0
297504862,21:03:00,2025-06-22,0,128342,1.0,51.59579086303711,4.777674198150635,1.0,1,2025-06-22 18:59:02,,8982,0.0
297504862,21:03:00,2025-06-22,0,128342,1.0,51.638427734375,4.759562969207764,6.0,2,2025-06-22 19:14:05,3151222,8982,0.005429835075981684
297504862,21:03:00,2025-06-22,0,128342,1.0,51.67280960083008,4.819849014282227,14.0,2,2025-06-22 19:31:01,3151361,8982,0.005560057754980799
297504738,21:32:00,2025-06-22,0,128342,0.0,51.64835739135742,4.755842208862305,7.0,1,2025-06-22 19:45:09,,8982,0.006114432888447764
297504739,22:03:00,2025-06-22,0,128342,1.0,51.59579086303711,4.777674198150635,1.0,1,2025-06-22 19:58:46,,8982,0.007388402580505723
297021310,10:08:00,2025-06-17,1,128341,1.0,51.68964385986328,4.662749767303467,17.0,1,2025-06-17 09:28:28,,8983,0.0
297021310,10:08:00,2025-06-17,1,128341,1.0,51.68964385986328,4.662749767303467,17.0,1,2025-06-17 09:28:28,,8983,0.0
297021310,10:08:00,2025-06-17,1,128341,1.0,51.68964385986328,4.662749767303467,17.0,1,2025-06-17 09:28:28,,8983,0.0
297021310,10:08:00,2025-06-17,1,128341,1.0,51.68964385986328,4.662749767303467,17.0,1,2025-06-17 09:28:28,,8983,0.0
297021310,10:08:00,2025-06-17,1,128341,1.0,51.68964385986328,4.662749767303467,17.0,1,2025-06-17 09:28:28,,8983,0.0
297021310,10:08:00,2025-06-17,1,128341,1.0,51.68964385986328,4.662749767303467,17.0,1,2025-06-17 09:28:28,,8983,0.0
297021310,10:08:00,2025-06-17,1,128341,1.0,51.68964385986328,4.662749767303467,17.0,1,2025-06-17 09:28:28,,8983,0.0
297504841,20:33:00,2025-06-22,0,128342,0.0,51.64835739135742,4.755842208862305,7.0,1,2025-06-22 18:43:52,,8985,0.0
297504841,20:33:00,2025-06-22,0,128342,0.0,51.64835739135742,4.755842208862305,7.0,1,2025-06-22 18:43:52,,8985,0.0
297504729,21:00:00,2025-06-22,0,128338,1.0,51.595821380615234,4.778351783752441,1.0,1,2025-06-22 18:58:29,,8985,0.0068926960517716645
297504729,21:00:00,2025-06-22,0,128338,1.0,51.589908599853516,4.738833904266357,8.0,2,2025-06-22 19:13:54,3150209,8985,0.0030356004905174676
