trip_id,start_time,start_date,schedule_relationship,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_label,speed_kmh
287229615,22:51:00,2025-06-09,0,127762,0.0,52.49557113647461,4.959426403045654,13.0,2,2025-06-09 21:03:06,3049602,4215,
292796172,22:23:00,2025-06-09,0,105987,1.0,52.08388900756836,5.030275344848633,25.0,2,2025-06-09 21:03:09,2702174,4216,
287229388,22:41:00,2025-06-09,0,127780,1.0,52.471435546875,4.813238143920898,22.0,2,2025-06-09 21:03:12,3049171,4219,
287229146,22:53:00,2025-06-09,0,127775,1.0,52.46074295043945,4.795675754547119,10.0,2,2025-06-09 21:03:20,3049126,4222,
292795900,22:17:00,2025-06-09,0,105987,0.0,52.09046936035156,5.182499885559082,33.0,2,2025-06-09 21:03:21,2701866,4222,48.86512902751857
292795903,23:04:00,2025-06-09,0,105987,0.0,52.1024055480957,5.0082197189331055,1.0,1,2025-06-09 21:03:19,,4224,
292795902,22:49:00,2025-06-09,0,105987,0.0,52.0841064453125,5.049181938171387,10.0,2,2025-06-09 21:02:58,2702266,4226,
287229387,22:31:00,2025-06-09,0,127780,0.0,52.468055725097656,4.830190658569336,34.0,2,2025-06-09 21:03:10,3049134,4227,
287229488,22:16:00,2025-06-09,0,127757,1.0,52.51870346069336,5.006789684295654,45.0,2,2025-06-09 21:03:20,3049770,4228,
292795901,22:32:00,2025-06-09,0,105987,0.0,52.09300231933594,5.114531993865967,21.0,2,2025-06-09 21:02:59,2919099,4230,
287229203,22:44:00,2025-06-09,0,127773,1.0,52.42424774169922,4.827536582946777,23.0,2,2025-06-09 21:03:14,3049187,4231,
287229834,22:51:00,2025-06-09,0,127763,0.0,52.466487884521484,5.032637596130371,12.0,2,2025-06-09 21:02:59,3049487,4238,
287229757,22:08:00,2025-06-09,0,127774,0.0,52.44183349609375,4.832770824432373,37.0,2,2025-06-09 21:03:21,3049250,4242,
287229760,22:34:00,2025-06-09,0,127774,1.0,52.41752624511719,4.91079044342041,23.0,2,2025-06-09 21:03:15,3049972,4245,
