id,cause,effect,active_period_start,active_period_end,description_text,header_text,url_text,alert_stop_ids,alert_route_ids,timestamp,language,text,locations,times,entities,urgency_label,urgency_score,category
KV15:QBUZZ:2025-07-17:9,1,8,2025-08-25 07:00:00+00:00,2025-12-31 06:00:00+00:00,"Oorzaak : Groot onderhoud N994.
Effect : Haltes Gemaal, Noordwolderweg, Plattenburg en Brug vervallen.
Qbuzz: Lijn 61 stopt niet bij deze halte tot nader bericht i.v.m. groot onderhoud N994. Stap in bij halte Kardinge.
",Qbuzz: Lijn 61 stopt niet bij deze halte tot nader bericht i.v.m. groot onderhoud N994. Stap in bij halte Kardinge.,,"['3229343', '3196957', '3196961', '2705748', '3229338', '3229342', '3196962']",['106131'],2025-07-27 13:34:27.524584,nl,"Oorzaak : Groot onderhoud N994.
Effect : Haltes Gemaal, Noordwolderweg, Plattenburg en Brug vervallen.
Qbuzz: Lijn 61 stopt niet bij deze halte tot nader bericht i.v.m. groot onderhoud N994. Stap in bij halte Kardinge.
","['Gemaal', 'Noordwolderweg', 'Plattenburg', 'Brug', 'Kardinge']",[],"[('Gemaal', 'LOC'), ('Noordwolderweg', 'LOC'), ('Plattenburg', 'LOC'), ('Brug', 'LOC'), ('Kardinge', 'LOC')]",neutral,0.515,n994
KV15:QBUZZ:2025-06-17:29,9,8,2025-06-21 07:00:00+00:00,2025-07-26 07:00:00+00:00,"Oorzaak : Werkzaamheden Groot onderhoud Beertsterbrug.
Effect : Haltes Posttil, Mr DU Stikkerlaan, Gassingel, Oldambtplein, Tulpstraat, Trompstraat, Jachtlaan, Hoorntjesweg en Beertsterweg vervallen.
Qbuzz: lijn 17 stopt niet op deze halte tot 26 juli 05:00 uur door groot onderhoud aan de Beertsterbrug. Stap in bij halte Station.
",Qbuzz: lijn 17 stopt niet op deze halte tot 26 juli 05:00 uur door groot onderhoud aan de Beertsterbrug. Stap in bij halte Station.,,"['3198211', '3198228', '3198222', '3198212', '3198214', '3230761', '3230754', '3198226', '3198215', '3230753', '3198227', '3230750', '3230755', '3230759', '3230766', '3230756', '3198220', '3198213', '3230767', '3230751', '3230764', '3230762', '3198216', '3198217', '3198210', '3198225', '3230760', '3198224', '3230763', '3230749', '3230765', '2707242', '3198221', '3198223', '3230752']",['106120'],2025-07-27 13:34:27.567453,nl,"Oorzaak : Werkzaamheden Groot onderhoud Beertsterbrug.
Effect : Haltes Posttil, Mr DU Stikkerlaan, Gassingel, Oldambtplein, Tulpstraat, Trompstraat, Jachtlaan, Hoorntjesweg en Beertsterweg vervallen.
Qbuzz: lijn 17 stopt niet op deze halte tot 26 juli 05:00 uur door groot onderhoud aan de Beertsterbrug. Stap in bij halte Station.
","['Beertsterbrug', 'Posttil', 'Mr DU Stikkerlaan', 'Gassingel', 'Oldambtplein', 'Tulpstraat', 'Trompstraat', 'Ja', 'chtlaan', 'Hoorntjesweg', 'Beertsterweg', 'Beertsterbrug', 'Station']",[],"[('Beertsterbrug', 'LOC'), ('Posttil', 'LOC'), ('Mr DU Stikkerlaan', 'LOC'), ('Gassingel', 'LOC'), ('Oldambtplein', 'LOC'), ('Tulpstraat', 'LOC'), ('Trompstraat', 'LOC'), ('Ja', 'LOC'), ('chtlaan', 'LOC'), ('Hoorntjesweg', 'LOC'), ('Beertsterweg', 'LOC'), ('Beertsterbrug', 'LOC'), ('Station', 'LOC')]",negative,0.498,beertsterbrug
KV15:QBUZZ:2025-04-02:4,9,8,2025-04-19 03:41:00+00:00,2025-10-31 05:00:00+00:00,"Oorzaak : Werkzaamheden Werkzaamheden.
Effect : Halte Winkelcentrum Soest-Zuid vervalt.
U-OV: lijn 452 stopt niet op deze halte tot 31 oktober door werkzaamheden. Stap in bij Station Soest-Zuid.
",U-OV: lijn 452 stopt niet op deze halte tot 31 oktober door werkzaamheden. Stap in bij Station Soest-Zuid.,,['3196164'],['131011'],2025-07-27 13:34:27.607691,nl,"Oorzaak : Werkzaamheden Werkzaamheden.
Effect : Halte Winkelcentrum Soest-Zuid vervalt.
U-OV: lijn 452 stopt niet op deze halte tot 31 oktober door werkzaamheden. Stap in bij Station Soest-Zuid.
","['Winkelcentrum Soest-Zuid', 'Soest-Zuid']",[],"[('Winkelcentrum Soest-Zuid', 'LOC'), ('Soest-Zuid', 'LOC')]",negative,0.531,452
KV15:CXX:2025-06-05:11,9,4,2025-06-05 12:01:00+00:00,2025-07-26 01:59:00+00:00,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Halte vervallen t/m 25 juli. Plan je reis op hermes.nl.
",Halte vervallen t/m 25 juli. Plan je reis op hermes.nl.,,"['2751075', '2751074']",,2025-07-27 13:34:27.651833,nl,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Halte vervallen t/m 25 juli. Plan je reis op hermes.nl.
",[],[],[],neutral,0.708,hermes
KV15:CXX:2025-04-22:9,9,6,2025-04-22 02:01:00+00:00,2026-01-01 00:59:00+00:00,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen t/m 31 december. Tijdelijke halte: aan de Knoksebaan t.h.v. Go Green Garden.

","Halte vervallen t/m 31 december. Tijdelijke halte: aan de Knoksebaan t.h.v. Go Green Garden.
",,"['2761083', '2761084']",,2025-07-27 13:34:27.691888,nl,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen t/m 31 december. Tijdelijke halte: aan de Knoksebaan t.h.v. Go Green Garden.

",['Knoksebaan'],[],"[('Knoksebaan', 'LOC')]",neutral,0.774,green
SIRIGM:1405501-2-1051-2,1,8,2025-07-19 03:00:00+00:00,2025-08-19 23:00:00+00:00,Bus 246 rijdt om vanaf halte VU medisch centrum. Details: gvb.nl -- Bus 246 runs a diverted route from VU medisch centrum. Details: gvb.nl,Bus 246 rijdt om vanaf halte VU medisch centrum. Details: gvb.nl -- Bus 246 runs a diverted route from VU medisch centrum. Details: gvb.nl,,"['3153087', '3151893', '3153179', '3152769', '3152020']",,2025-07-27 13:34:27.738238,nl,Bus 246 rijdt om vanaf halte VU medisch centrum. Details: gvb.nl -- Bus 246 runs a diverted route from VU medisch centrum. Details: gvb.nl,"['VU', 'VU']",[],"[('VU', 'LOC'), ('VU', 'LOC')]",neutral,0.909,medisch
KV15:ARR:2025-02-13:5,1,8,2025-02-17 06:01:00+00:00,2026-01-01 01:00:00+00:00,"IVM Werkzaamheden is deze halte vervallen. Maak gebruik van halte Dr Bosstraat of IJsselflat.
",IVM Werkzaamheden is deze halte vervallen. Maak gebruik van halte Dr Bosstraat of IJsselflat.,,['3077686'],['128155'],2025-07-27 13:34:27.778915,nl,"IVM Werkzaamheden is deze halte vervallen. Maak gebruik van halte Dr Bosstraat of IJsselflat.
","['Dr Bosstraat', '', 'IJsselflat']",[],"[('IVM Werkzaamheden', 'ORG'), ('Dr Bosstraat', 'LOC'), ('', 'LOC'), ('IJsselflat', 'LOC')]",negative,0.526,ijsselflat
KV15:QBUZZ:2025-05-01:35,9,8,2025-05-04 07:00:00+00:00,2025-12-31 06:00:00+00:00,"Oorzaak : Werkzaamheden Dijkversterking
Effect : Haltes Burgemeester Neetstraat, School, IJsseldijk 82, Slingerland, Baas, Terlouw, Nomen, Lageweg, Breeweer, IJsseldijk Noord, ’t Zwaantje, Grote Waal, Boers, Boezemhuisje en Gouderak Dorp vervallen.
Qbuzz: Maak vanaf 4 mei tussen Burg. Neetstraat en Gouderak Dorp gebruik van de flexBuzz. Maak tussen Gouderak en station Gouda gebruik van de Qbuzz pendelBuzz .
",Qbuzz: Maak vanaf 4 mei tussen Burg. Neetstraat en Gouderak Dorp gebruik van de flexBuzz. Maak tussen Gouderak en station Gouda gebruik van de Qbuzz pendelBuzz .,,"['2904096', '2904007', '2904008', '2903852', '2904009', '2903854', '2904090']",['119934'],2025-07-27 13:34:27.823771,nl,"Oorzaak : Werkzaamheden Dijkversterking
Effect : Haltes Burgemeester Neetstraat, School, IJsseldijk 82, Slingerland, Baas, Terlouw, Nomen, Lageweg, Breeweer, IJsseldijk Noord, ’t Zwaantje, Grote Waal, Boers, Boezemhuisje en Gouderak Dorp vervallen.
Qbuzz: Maak vanaf 4 mei tussen Burg. Neetstraat en Gouderak Dorp gebruik van de flexBuzz. Maak tussen Gouderak en station Gouda gebruik van de Qbuzz pendelBuzz .
","['Burgemeester Neetstraat', 'School', '', 'IJsseldijk', 'Slingerland', 'Baas', 'Terlouw', 'Nomen', 'Lageweg', 'Breeweer', '', 'IJsseldijk Noord', '', '’t Zwaantje', 'Grote Waal', 'Boers', 'Boezemhuisje', 'Gouderak Dorp', 'Burg. Neetstraat', 'Gouderak Dorp', 'Gouderak', 'Gouda']",[],"[('Burgemeester Neetstraat', 'LOC'), ('School', 'LOC'), ('', 'LOC'), ('IJsseldijk', 'LOC'), ('Slingerland', 'LOC'), ('Baas', 'LOC'), ('Terlouw', 'LOC'), ('Nomen', 'LOC'), ('Lageweg', 'LOC'), ('Breeweer', 'LOC'), ('', 'LOC'), ('IJsseldijk Noord', 'LOC'), ('', 'LOC'), ('’t Zwaantje', 'LOC'), ('Grote Waal', 'LOC'), ('Boers', 'LOC'), ('Boezemhuisje', 'LOC'), ('Gouderak Dorp', 'LOC'), ('Burg. Neetstraat', 'LOC'), ('Gouderak Dorp', 'LOC'), ('Gouderak', 'LOC'), ('Gouda', 'LOC')]",neutral,0.77,gouderak
KV15:KEOLIS:2025-07-01:2,1,7,2025-07-07 07:00:00+00:00,2025-07-25 20:00:00+00:00,"Oorzaak : onbekend In verband met werkzaamheden aan de Stationsweg in Scherpenzeel
Effect : Halte is vervallen
Syntus: Van 21 juli 05:00 t/m 25 juli 18:00 vervalt de halte Scherpenzeel Pluimenweg
",Syntus: Van 21 juli 05:00 t/m 25 juli 18:00 vervalt de halte Scherpenzeel Pluimenweg,,"['2694709', '2694708']",['104222'],2025-07-27 13:34:27.860362,nl,"Oorzaak : onbekend In verband met werkzaamheden aan de Stationsweg in Scherpenzeel
Effect : Halte is vervallen
Syntus: Van 21 juli 05:00 t/m 25 juli 18:00 vervalt de halte Scherpenzeel Pluimenweg
","['Stationsweg', 'Scherpenzeel', 'Scherpenzeel Pluimenweg']",[],"[('Stationsweg', 'LOC'), ('Scherpenzeel', 'LOC'), ('Scherpenzeel Pluimenweg', 'LOC')]",neutral,0.779,scherpenzeel
KV15:QBUZZ:2025-06-17:38,9,8,2025-06-19 07:00:00+00:00,2025-07-26 07:00:00+00:00,"Oorzaak : Werkzaamheden Werkzaamheden t.h.v. de halte.
Effect : Halte Steenakkersweg vervalt.
Qbuzz: lijnen 9 en 209 stoppen niet op deze halte tot 26 juli 05:00 uur door werkzaamheden t.h.v. de halte. Stap in bij halte Eskampenweg.
",Qbuzz: lijnen 9 en 209 stoppen niet op deze halte tot 26 juli 05:00 uur door werkzaamheden t.h.v. de halte. Stap in bij halte Eskampenweg.,,"['3230098', '3197573', '3197572', '3230097']","['133905', '106176']",2025-07-27 13:34:27.898355,nl,"Oorzaak : Werkzaamheden Werkzaamheden t.h.v. de halte.
Effect : Halte Steenakkersweg vervalt.
Qbuzz: lijnen 9 en 209 stoppen niet op deze halte tot 26 juli 05:00 uur door werkzaamheden t.h.v. de halte. Stap in bij halte Eskampenweg.
","['Steenakkersweg', 'Eskampenweg']",[],"[('Steenakkersweg', 'LOC'), ('Eskampenweg', 'LOC')]",neutral,0.786,209
